case_number,court,year,month,pdf_url,judges
OA_2183_of_2012,CHANDIGARH,2013,11,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/november2013/OA_2183_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_2509_of_2012,CHANDIGARH,2013,11,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/november2013/OA_2509_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_47_of_2013,CHANDIGARH,2013,11,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/november2013/TA_47_of_2013.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_1358_of_2012,CHANDIGARH,2013,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/december2013/OA_1358_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_833_of_2010,CHANDIGARH,2013,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/december2013/TA_833_of_2010.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_657_of_2010,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_657_of_2010.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_1063_of_2012,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_1063_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_1208_of_2011,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_1208_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_1265_of_2011,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_1265_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_1334_of_2012,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_1334_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_1763_of_2011,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_1763_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_2087_of_2012,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_2087_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_250_of_2011,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/TA_250_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_960_of_2011,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/OA_960_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_1954_of_2013,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/OA_1954_of_2013.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_2000_of_2012,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/OA_2000_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_3337_of_2012,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/OA_3337_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_3393_of_2013,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/OA_3393_of_2013.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_09_of_2013,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_09_of_2013.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_48_of_2011,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_48_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_57_of_2010,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_57_of_2010.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_135_of_2011,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_135_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_147_of_2011,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_147_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_150_of_2012,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_150_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_164_of_2012,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_164_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_174_of_2012,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_174_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_262_of_2011,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_262_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_708_of_2010,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/OA_708_of_2010.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_1144_of_2012,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/OA_1144_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_1718_of_2012,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/OA_1718_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_17_of_2012,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/TA_17_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_54_of_2012,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/TA_54_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_108_of_2011,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/TA_108_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_188_of_2011,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/TA_188_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_407_of_2010,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/TA_407_of_2010.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_821_of_2010,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/TA_821_of_2010.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_1864_of_2011,CHANDIGARH,2014,04,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/april2014/OA_1864_of_2011.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
OA_2520_of_2012,CHANDIGARH,2014,04,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/april2014/OA_2520_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_111_of_2012,CHANDIGARH,2014,04,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/april2014/TA_111_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
TA_137_of_2012,CHANDIGARH,2014,04,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/april2014/TA_137_of_2012.pdf,"(""Hon'ble Mr. Justice  Prakash Krishna (Member)"", ""Hon'ble Lt. Gen.(Retd) HS Panag (Administrative Member)"")"
